epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
139,,1.27851,0.82971,0.88055,,,0.36377,0.21201,1.42805,0.994,0.88678,,,,,,,,
140,,1.25021,0.83006,0.8807,,,0.36301,0.21219,1.42986,0.99234,0.88631,,,,,,,,
141,,1.25312,0.81869,0.87803,,,0.36633,0.21236,1.43043,0.99561,0.88577,,,,,,,,
142,,1.25011,0.80732,0.87902,,,0.36124,0.21133,1.43224,0.99495,0.88551,,,,,,,,
143,,1.24952,0.79595,0.87635,,,0.36348,0.21073,1.43281,0.99722,0.88565,,,,,,,,
144,,1.24835,0.78458,0.87468,,,0.36147,0.2105,1.43462,0.99556,0.88599,,,,,,,,
145,,1.24532,0.77921,0.87301,,,0.36616,0.2114,1.43519,0.99883,0.88593,,,,,,,,
146,,1.2472,0.77584,0.87134,,,0.36342,0.21138,1.437,0.99917,0.88561,,,,,,,,
147,,1.24526,0.77247,0.87536,,,0.36227,0.21016,1.43757,1.00044,0.88509,,,,,,,,
148,,1.24319,0.7691,0.87369,,,0.36564,0.21069,1.43938,1.00218,0.88494,,,,,,,,
149,,1.24067,0.76673,0.87202,,,0.36263,0.2109,1.43995,1.00376,0.88512,,,,,,,,
150,,1.24753,0.76441,0.87035,,,0.36113,0.21017,1.44148,1.00542,0.88606,,,,,,,,
,,,,,,,,,,,,,,,,,,,
